"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"CD4+ T cells","CD14+ Monocytes","ANXA1","FPR1",0.0533135150038531,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD8+ T cells","CD14+ Monocytes","ANXA1","FPR1",0.142033533145994,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD14+ Monocytes","CD14+ Monocytes","ANXA1","FPR1",0.137867405566966,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"NK cells","CD14+ Monocytes","ANXA1","FPR1",0.14092335134114,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD4+ T cells","CD8+ T cells","LCK","CD8 receptor",0.153760247004307,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"CD8+ T cells","CD8+ T cells","LCK","CD8 receptor",0.153310473868612,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"NK cells","CD8+ T cells","LCK","CD8 receptor",0.14571893392404,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"B","CD8+ T cells","HLA-A","CD8A",0.207688956489036,0.01,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","HLA-A","CD8A",0.209935572449303,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-A","CD8A",0.210451157317014,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD8+ T cells","HLA-A","CD8A",0.210290669232062,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma B","CD8+ T cells","HLA-A","CD8A",0.216508547373223,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"B","CD8+ T cells","HLA-B","CD8A",0.21289164212197,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","HLA-B","CD8A",0.214151053766675,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-B","CD8A",0.214524433578974,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD8+ T cells","HLA-B","CD8A",0.214182042277811,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma B","CD8+ T cells","HLA-B","CD8A",0.221106420801898,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma B","NK cells","HLA-B","CD8A",0.211613976227748,0.01,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"B","CD8+ T cells","HLA-C","CD8A",0.206601947532393,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","HLA-C","CD8A",0.207041927862419,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-C","CD8A",0.208484141620671,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD8+ T cells","HLA-C","CD8A",0.20855217567019,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","HLA-F","CD8A",0.0569497949464214,0.02,"HLA-F_CD8A","HLA-F - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-F","CD8A",0.0578698239055707,0,"HLA-F_CD8A","HLA-F - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD8+ T cells","HLA-F","CD8A",0.0577437016853088,0,"HLA-F_CD8A","HLA-F - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"B","CD8+ T cells","HLA-A","CD8B",0.205116363811273,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","HLA-A","CD8B",0.207342433959196,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-A","CD8B",0.207853325748451,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD8+ T cells","HLA-A","CD8B",0.196524532925686,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD8+ T cells","HLA-A","CD8B",0.198479807458323,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD8+ T cells","HLA-A","CD8B",0.20769429761321,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma B","CD8+ T cells","HLA-A","CD8B",0.213856195673355,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"B","CD8+ T cells","HLA-B","CD8B",0.210271707963562,0,"HLA-B_CD8B","HLA-B - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","HLA-B","CD8B",0.211519785767451,0,"HLA-B_CD8B","HLA-B - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-B","CD8B",0.211889814863933,0,"HLA-B_CD8B","HLA-B - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD8+ T cells","HLA-B","CD8B",0.206450086054531,0,"HLA-B_CD8B","HLA-B - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD8+ T cells","HLA-B","CD8B",0.206350726810038,0,"HLA-B_CD8B","HLA-B - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD8+ T cells","HLA-B","CD8B",0.211550496022836,0,"HLA-B_CD8B","HLA-B - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma B","CD8+ T cells","HLA-B","CD8B",0.218413444677803,0,"HLA-B_CD8B","HLA-B - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"B","CD8+ T cells","HLA-C","CD8B",0.204039351930504,0,"HLA-C_CD8B","HLA-C - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","HLA-C","CD8B",0.204475281410702,0,"HLA-C_CD8B","HLA-C - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-C","CD8B",0.205904258915636,0,"HLA-C_CD8B","HLA-C - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD8+ T cells","HLA-C","CD8B",0.19605284584229,0,"HLA-C_CD8B","HLA-C - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD8+ T cells","HLA-C","CD8B",0.199235032694467,0,"HLA-C_CD8B","HLA-C - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD8+ T cells","HLA-C","CD8B",0.205971670158405,0,"HLA-C_CD8B","HLA-C - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"B","CD8+ T cells","HLA-F","CD8B",0.0558121155930315,0,"HLA-F_CD8B","HLA-F - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","HLA-F","CD8B",0.0561121371504197,0,"HLA-F_CD8B","HLA-F - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-F","CD8B",0.057019451882897,0,"HLA-F_CD8B","HLA-F - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD8+ T cells","HLA-F","CD8B",0.0496220520593483,0.03,"HLA-F_CD8B","HLA-F - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD8+ T cells","HLA-F","CD8B",0.0568950710529464,0,"HLA-F_CD8B","HLA-F - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"B","CD16+ Monocytes","HLA-F","LILRB1",0.0518303461847401,0.04,"HLA-F_LILRB1","HLA-F - LILRB1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"CD8+ T cells","CD16+ Monocytes","HLA-F","LILRB1",0.0529563792103543,0.04,"HLA-F_LILRB1","HLA-F - LILRB1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"NK cells","CD16+ Monocytes","HLA-F","LILRB1",0.0528403648199044,0.04,"HLA-F_LILRB1","HLA-F - LILRB1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"B","CD16+ Monocytes","HLA-DPA1","CD4",0.407779556743248,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD16+ Monocytes","HLA-DPA1","CD4",0.139270548127385,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD16+ Monocytes","HLA-DPA1","CD4",0.320378311022709,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD16+ Monocytes","HLA-DPA1","CD4",0.33514991512476,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD16+ Monocytes","HLA-DPA1","CD4",0.13688715734664,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B","CD16+ Monocytes","HLA-DPB1","CD4",0.407457435870862,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD16+ Monocytes","HLA-DPB1","CD4",0.140307806421978,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD16+ Monocytes","HLA-DPB1","CD4",0.324634593091071,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD16+ Monocytes","HLA-DPB1","CD4",0.144075866294125,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD16+ Monocytes","HLA-DPB1","CD4",0.138722363261429,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B","CD16+ Monocytes","HLA-DQA1","CD4",0.139318081411635,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD16+ Monocytes","HLA-DQA1","CD4",0.132833500424053,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B","CD16+ Monocytes","HLA-DMA","CD4",0.328386243004476,0,"HLA-DMA_CD4","HLA-DMA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD16+ Monocytes","HLA-DMA","CD4",0.30456349394471,0,"HLA-DMA_CD4","HLA-DMA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD16+ Monocytes","HLA-DMA","CD4",0.131843483508682,0,"HLA-DMA_CD4","HLA-DMA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B","CD16+ Monocytes","HLA-DMB","CD4",0.324283258812029,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD16+ Monocytes","HLA-DMB","CD4",0.133314464866938,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B","CD16+ Monocytes","HLA-DQA2","CD4",0.324341437640523,0,"HLA-DQA2_CD4","HLA-DQA2 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD16+ Monocytes","HLA-DQA2","CD4",0.130488826229585,0,"HLA-DQA2_CD4","HLA-DQA2 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD16+ Monocytes","HLA-DQA2","CD4",0.128340147045282,0,"HLA-DQA2_CD4","HLA-DQA2 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B","CD16+ Monocytes","HLA-DOB","CD4",0.129950261919691,0,"HLA-DOB_CD4","HLA-DOB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B","CD16+ Monocytes","HLA-DRB1","CD4",0.41067366719613,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD16+ Monocytes","HLA-DRB1","CD4",0.139904967257066,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD16+ Monocytes","HLA-DRB1","CD4",0.329336202042823,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD16+ Monocytes","HLA-DRB1","CD4",0.329845658751147,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD16+ Monocytes","HLA-DRB1","CD4",0.136114928059334,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
